TargetWord|Meaning|IPA|Part_of_Speech|Gender|Morphology|Nuance|ContextSentences|ContextTranslation|Etymology|Mnemonic|Analogues|ImagePrompt|Tags
Der Ausschnitt|Фрагмент (тексту/відео); виріз (на одязі); сектор.|/ˈaʊ̯sˌʃnɪt/|Noun|der|Pl: -e|"Позначає частину, виокремлену з цілого. У медіа-контексті це ""кліп"" або ""уривок"". В моді — декольте. На відміну від <i>der Teil</i> (частина взагалі), це завжди результат ""вирізання"" або фокусування на конкретній зоні."|1. Der <b>Ausschnitt</b> aus dem Film war lustig.<br>2. Sie trug ein Kleid mit tiefem <b>Ausschnitt</b>.<br>3. Hier sehen Sie einen <b>Ausschnitt</b> der Karte.|1. Уривок з фільму був смішним.<br>2. Вона була в сукні з глибоким вирізом.<br>3. Тут ви бачите фрагмент карти.|"<b>aus (з/назовні) -> schneiden (різати)</b><br>Буквально ""те, що вирізано зсередини"". Логіка відділення частини від загального масиву."|"Асоціація з ножицями, які ""вирізають"" шматок газети або тканини."|EN: excerpt, neckline<br>DE: das Fragment<br>RU: отрывок, вырез<br>UA: уривок, фрагмент|minimalist flat vector icon of scissors cutting a rectangular shape, Royal Blue and Cyan color palette, white background, high quality, simple shapes|Noun B1 Media Clothing
entscheiden|Вирішувати; робити вибір.|/ɛntˈʃaɪ̯dn̩/|Verb|none|entscheidet • entschied • h. entschieden|Передбачає вибір між альтернативами (А або Б). На відміну від <i>lösen</i> (розв'язувати проблему) або <i>beschließen</i> (ухвалювати офіційне рішення), тут акцент на вольовому акті вибору, що усуває невизначеність. Часто вживається з <i>sich</i> (зважитися).|1. Du musst dich endlich <b>entscheiden</b>.<br>2. Das Gericht hat den Fall <b>entschieden</b>.<br>3. Dieser Moment war <b>entscheidend</b>.|1. Ти мусиш нарешті визначитися.<br>2. Суд вирішив цю справу.<br>3. Цей момент був вирішальним.|"<b>ent- (від-/роз-) -> scheiden (розділяти)</b><br>Етимологічно ""розділяти"" варіанти. Коли ви приймаєте рішення, ви ""відсікаєте"" всі інші можливості, залишаючи лише одну."|Уявіть суддю, який мечем розрубує вузол сумнівів, відділяючи правильне від неправильного. Вибір зроблено.|EN: to decide<br>DE: eine Wahl treffen<br>RU: решать<br>UA: визначатися|minimalist flat vector icon of path splitting into two arrows, Purple and Violet color palette, white background, high quality, simple shapes|Verb A2 Cognitive Irregular
fügen|З'єднувати; пасувати; (refl.) підкорятися/змиритися.|/ˈfyːɡn̩/|Verb|none|fügt • fügte • h. gefügt|"Базове значення — припасовувати частини (як у пазлі). У рефлексивній формі (<i>sich fügen</i>) означає ""вписати себе в обставини"", тобто підкоритися долі чи правилам. Часто плутають з похідним <i>hinzufügen</i> (додавати)."|1. Wir müssen die Teile aneinander <b>fügen</b>.<br>2. Er musste sich in sein Schicksal <b>fügen</b>.<br>3. Alles <b>fügt</b> sich zum Guten.|1. Ми повинні з'єднати частини одну з одною.<br>2. Він мусив змиритися зі своєю долею.<br>3. Все складається на краще.|"<b>Fuge (шов/стик) -> -en (дієсл. суфікс)</b><br>Походить від іменника ""стик"". Робити так, щоб речі стикалися ідеально, без зазорів. Звідси метафора соціальної адаптації (підкорення)."|"Асоціація з ""Фугою"" (музика) або будівельним швом. Елементи повинні ідеально підходити один до одного."|EN: to join, to submit<br>DE: verbinden, gehorchen<br>RU: связывать, покоряться<br>UA: ладнати, коритися|minimalist flat vector icon of two puzzle pieces interlocking, Purple and Violet color palette, white background, high quality, simple shapes|Verb C1 Construction Abstract
bereits|Вже (формально); раніше, ніж очікувалося.|/bəˈʁaɪ̯t͡s/|Adverb|none|-|Синонім <i>schon</i>, але вищого регістру. Використовується в офіційному мовленні, письмі та для підсилення факту завершеності дії. Вказує на стан готовності або доконаний факт.|1. Ich habe das <b>bereits</b> erledigt.<br>2. Es ist <b>bereits</b> spät.<br>3. Das war <b>bereits</b> bekannt.|1. Я це вже виконав.<br>2. Вже пізно.<br>3. Це було вже відомо.|"<b>bereit (готовий) -> -s (генітивний суфікс)</b><br>Історично: ""у стані готовності"". Те, що вже зроблене, є ""готовим""."|"Слово схоже на ""Bereit"" (готовий). Якщо ви готові, значить ви ""ВЖЕ"" це зробили."|EN: already<br>DE: schon<br>RU: уже<br>UA: вже|minimalist flat vector icon of checkmark on calendar, Dark Teal and Slate Blue color palette, white background, high quality, simple shapes|Adverb A2 Formal Time
unterschiedlich|Різний; відмінний; різноманітний.|/ˈʊntɐˌʃiːtlɪç/|Adjective|none|-|"Вказує на наявність різниці (Unterschied) між об'єктами. На відміну від <i>verschieden</i> (який може означати ""різноманітний"" або ""кілька""), <i>unterschiedlich</i> акцентує саме на несхожості якостей, розмірів чи думок."|1. Wir haben <b>unterschiedliche</b> Meinungen.<br>2. Die Ergebnisse fielen <b>unterschiedlich</b> aus.<br>3. Sie sind von <b>unterschiedlicher</b> Größe.|1. У нас різні думки.<br>2. Результати виявилися різними.<br>3. Вони різного розміру.|"<b>unter (між) -> scheiden (розділяти) + -lich</b><br>Буквально: ""такий, що має розділення між собою"". Те, що можна розрізнити."|"Думайте про ""розрізняти"" (distinguish). Якщо речі розрізняються, вони ""unterschiedlich""."|EN: different, variable<br>DE: verschieden, anders<br>RU: различный<br>UA: неоднаковий|minimalist flat vector icon of shapes circle square triangle, Dark Teal and Slate Blue color palette, white background, high quality, simple shapes|Adjective A2 Comparison General
egal|Байдуже; однаково; неважливо.|/eˈɡaːl/|Adjective|none|-|"Виражає відсутність переваги або байдужість. Часто вживається у фразі ""Das ist mir egal"". Може також означати ""рівний/однаковий"" (архаїчне або технічне значення), але в сучасній мові домінує прагматика байдужості."|1. Es ist mir völlig <b>egal</b>.<br>2. <b>Egal</b>, was passiert, ich helfe dir.<br>3. Ob heute oder morgen, das ist <b>egal</b>.|1. Мені абсолютно байдуже.<br>2. Неважливо, що станеться, я тобі допоможу.<br>3. Чи сьогодні, чи завтра — це однаково.|"<b>aequalis (рівний - лат.)</b><br>Запозичення з французької <i>égal</i>. Спочатку означало ""рівний"". Якщо два варіанти рівні за цінністю, то вам байдуже, який обирати."|"Асоціація зі знаком ""дорівнює"" (=). Варіант А = Варіант Б. Мені все одно."|EN: all the same, doesn't matter<br>DE: gleichgültig<br>RU: всё равно<br>UA: все одно|minimalist flat vector icon of equal sign balance scale, Dark Teal and Slate Blue color palette, white background, high quality, simple shapes|Adjective A1 Colloquial Attitude
die Übung|Вправа; тренування; практика.|/ˈyːbʊŋ/|Noun|die|Pl: -en|Дія, спрямована на набуття навички через повторення. Може означати як конкретне завдання в підручнику, так і процес тренування взагалі. Відрізняється від <i>Erfahrung</i> (досвід, набутий життям) своєю методичністю.|1. Übung macht den Meister.<br>2. Diese <b>Übung</b> ist sehr schwer.<br>3. Mir fehlt einfach die <b>Übung</b>.|1. Вправність майстра (тренування робить майстром).<br>2. Ця вправа дуже важка.<br>3. Мені просто бракує практики.|"<b>üben (вправлятися) -> -ung (іменник процесу)</b><br>Давньогерманське коріння, пов'язане з обробкою землі (культивацією). Тренування — це ""культивація"" навички."|"Уявіть спортсмена або музиканта, який повторює дію знову і знову. Це є ""Übung""."|EN: exercise, practice<br>DE: das Training<br>RU: упражнение<br>UA: заняття, тренінг|minimalist flat vector icon of dumbbell and book, Crimson Red and Scarlet color palette, white background, high quality, simple shapes|Noun A1 Education Sport
vorbereiten|Готувати (заздалегідь); підготовляти.|/ˈfoːɐ̯bəˌʁaɪ̯tn̩/|Verb|none|bereitet vor • bereitete vor • h. vorbereitet|Дія приведення чогось у стан готовності <i>до</i> початку події. Обов'язково транзитивне або рефлексивне (<i>sich vorbereiten auf</i>). Ключова відмінність від простого <i>bereiten</i> — префікс <i>vor-</i> (наперед).|1. Ich muss das Essen <b>vorbereiten</b>.<br>2. Hast du dich auf die Prüfung <b>vorbereitet</b>?<br>3. Alles ist bestens <b>vorbereitet</b>.|1. Я маю підготувати їжу.<br>2. Ти підготувався до іспиту?<br>3. Все підготовлено якнайкраще.|<b>vor (перед) -> bereit (готовий)</b><br>Робити готовим наперед. Логіка превентивної дії.|"Розкладіть слово: ""Before"" (Vor) + ""Ready"" (Bereit). Робити ""ready before"" подією."|EN: to prepare<br>DE: fertig machen<br>RU: подготавливать<br>UA: готувати|minimalist flat vector icon of ingredients laid out for cooking, Purple and Violet color palette, white background, high quality, simple shapes|Verb A2 Action Planning
deklinieren|Відмінювати (граматично); (рідше) відхиляти (ввічливо).|/dekliˈniːʁən/|Verb|none|dekliniert • deklinierte • h. dekliniert|"Суто лінгвістичний термін: змінювати слово за відмінками (Kasus). Не плутати з <i>konjugieren</i> (дієслова). У переносному сенсі (високий стиль) може означати ""проганяти всі варіанти"" якоїсь теми."|"1. Kannst du das Wort ""Herz"" <b>deklinieren</b>?<br>2. Wir haben alle Möglichkeiten durch<b>dekliniert</b>.<br>3. Im Deutschen muss man Artikel <b>deklinieren</b>."|"1. Ти можеш провідміняти слово ""серце""?<br>2. Ми перебрали (провідміняли) всі можливості.<br>3. У німецькій треба відміняти артиклі."|"<b>de- (вниз/від) -> clinare (хилити - лат.)</b><br>Латинська граматична метафора. Називний відмінок вважався ""прямим"", а всі інші — ""відхиленням"" (decline) від норми."|"Асоціація з англійським ""Decline"". Графік йде вниз — змінює форму. Відмінювання — це зміна форми слова."|EN: to decline (grammar)<br>DE: beugen<br>RU: склонять<br>UA: відмінювати|minimalist flat vector icon of grammar table chart, Purple and Violet color palette, white background, high quality, simple shapes|Verb B1 Linguistics Academic
die Vorbereitung|Підготовка; приготування.|/ˈfoːɐ̯bəˌʁaɪ̯tʊŋ/|Noun|die|Pl: -en|Процес або результат підготовки. Охоплює все: від нарізання овочів до навчання перед екзаменом. Часто вживається у множині для позначення комплексних заходів (Vorbereitungen treffen).|1. Die <b>Vorbereitung</b> hat lange gedauert.<br>2. Wir treffen <b>Vorbereitungen</b> für die Reise.<br>3. Ohne gute <b>Vorbereitung</b> scheitert man.|1. Підготовка тривала довго.<br>2. Ми робимо приготування до подорожі.<br>3. Без доброї підготовки зазнаєш невдачі.|"<b>vor (перед) -> bereiten (готувати) + -ung</b><br>Іменник від дієслова <i>vorbereiten</i>. Дія ""наперед-готування""."|Див. <i>vorbereiten</i>. Це іменник процесу.|EN: preparation<br>DE: die Planung<br>RU: подготовка<br>UA: заготівля|minimalist flat vector icon of checklist and gear, Crimson Red and Scarlet color palette, white background, high quality, simple shapes|Noun B1 Abstract Action
verwitwet|Овдовілий.|/fɛɐ̯ˈvɪtvət/|Adjective|none|-|Стан цивільного стану (Familienstand), коли партнер помер і особа не одружилася знову. Офіційний термін для документів.|1. Meine Tante ist <b>verwitwet</b>.<br>2. Er lebt allein, seit er <b>verwitwet</b> ist.<br>3. <b>Verwitwete</b> Personen erhalten Rente.|1. Моя тітка — вдова.<br>2. Він живе сам, відколи овдовів.<br>3. Овдовілі особи отримують пенсію.|"<b>ver- (зміна стану) -> Witwe (вдова)</b><br>Процес перетворення на вдову/вдівця. Корінь пов'язаний з індоєвропейським поняттям ""порожній/відокремлений""."|"Корінь ""Witwe"" звучить як англійське ""Widow"". Префікс ver- показує, що це сталося з людиною."|EN: widowed<br>DE: alleinstehend (context)<br>RU: овдовевший<br>UA: удівець/удова|minimalist flat vector icon of single silhouette with shadow, Dark Teal and Slate Blue color palette, white background, high quality, simple shapes|Adjective A2 Family Official
das Herz|Серце.|/hɛʁt͡s/|Noun|das|Pl: -en (Gen: des Herzens)|"Анатомічний орган та метафоричний центр емоцій. Граматично унікальне: ""слабкий"" іменник середнього роду (Genitiv: des Herzens, Dativ: dem Herzen). Символ любові, сміливості та сутності."|1. Mein <b>Herz</b> schlägt für dich.<br>2. Er ist am <b>Herzen</b> operiert worden.<br>3. Nimm es dir nicht zu <b>Herzen</b>.|1. Моє серце б'ється для тебе.<br>2. Йому зробили операцію на серці.<br>3. Не бери це надто близько до серця.|"<b>Germ. *herton</b><br>Споріднене з грецьким <i>kardia</i> та англійським <i>heart</i>. Давнє коріння, що означає ""середина"" або ""те, що стрибає""."|"Фонетично схоже на ""Heart"". Зверніть увагу на закінчення -ens у родовому відмінку (виняток!)."|EN: heart<br>DE: der Mittelpunkt (metaphor)<br>RU: сердце<br>UA: серце|minimalist flat vector icon of anatomical heart simple geometry, Emerald Green and Lime color palette, white background, high quality, simple shapes|Noun A1 Body Emotion
geschieden|Розлучений.|/ɡəˈʃiːdn̩/|Adjective|none|-|Офіційний цивільний статус після розірвання шлюбу. Partizip II від <i>scheiden</i> (розділяти), що став прикметником. Вказує на остаточний юридичний розрив, на відміну від <i>getrennt lebend</i> (живуть окремо).|1. Seine Eltern sind <b>geschieden</b>.<br>2. Sie ist eine <b>geschiedene</b> Frau.<br>3. Wir leben <b>geschieden</b>.|1. Його батьки розлучені.<br>2. Вона розлучена жінка.<br>3. Ми живемо в розлученні (окремо, як розлучені).|"<b>ge- (префікс дієприкм.) -> scheiden (різати/ділити)</b><br>Той, кого ""відрізали"" або ""відділили"" від партнера. Споріднене зі словом <i>Schere</i> (ножиці)."|"Звук ""schie"" (ші) як звук ножиць, що розрізають фотографію весілля. Розрізаний = розлучений."|EN: divorced<br>DE: getrennt<br>RU: разведённый<br>UA: розлучений|minimalist flat vector icon of broken wedding ring, Dark Teal and Slate Blue color palette, white background, high quality, simple shapes|Adjective A1 Family Law
der Eigenname|Власна назва.|/ˈaɪ̯ɡn̩ˌnaːmə/|Noun|der|Pl: -n (Weak Noun)|Граматичний термін. Ім'я конкретної особи, географічного об'єкта або бренду (на відміну від загальної назви - <i>Appellativum</i>). Пишеться з великої літери, зазвичай не перекладається.|"1. ""Berlin"" ist ein <b>Eigenname</b>.<br>2. <b>Eigennamen</b> werden großgeschrieben.<br>3. Manchmal werden <b>Eigennamen</b> zu Verben."|"1. ""Берлін"" — це власна назва.<br>2. Власні назви пишуться з великої літери.<br>3. Іноді власні назви стають дієсловами."|"<b>eigen (власний) -> Name (ім'я)</b><br>Ім'я, яке є ""власністю"" конкретного об'єкта. Прозоре складання основ."|"Власне (Eigen) + ""Ім'я"" (Name)."|EN: proper name, proper noun<br>DE: der Name<br>RU: имя собственное<br>UA: власне ім'я|minimalist flat vector icon of ID card with text placeholder, Royal Blue and Cyan color palette, white background, high quality, simple shapes|Noun B1 Linguistics Grammar
der Besitz|Володіння; власність; майно.|/bəˈzɪt͡s/|Noun|der|Pl: -e (rare)|Фактичне панування над річчю (на відміну від <i>Eigentum</i> - юридичного права власності). У побуті ці слова часто взаємозамінні, але юридично <i>Besitz</i> — це те, що у вас в руках зараз, а <i>Eigentum</i> — те, що належить вам по закону.|1. Das Haus ist in meinem <b>Besitz</b>.<br>2. Er wurde wegen <b>Besitz</b> von Drogen verhaftet.<br>3. Reicher <b>Besitz</b> macht nicht immer glücklich.|1. Будинок у моєму володінні.<br>2. Його заарештували за зберігання (володіння) наркотиків.<br>3. Багате майно не завжди робить щасливим.|"<b>be- (біля/об-) -> sitzen (сидіти)</b><br>Буквально: ""обсиджування"". Те, на чому ти сидиш, або біля чого сидиш, охороняючи. Давнє уявлення про власність як фізичне зайняття місця."|Be-Sit -> Сидіти на чомусь. Якщо ви сидите на скрині, вона у вашому володінні.|EN: possession, property<br>DE: das Eigentum, die Habe<br>RU: владение, имущество<br>UA: володіння|minimalist flat vector icon of hand holding a house model, Royal Blue and Cyan color palette, white background, high quality, simple shapes|Noun B2 Law Daily_Life
versuchen|Спробувати; намагатися; спокушати.|/fɛɐ̯ˈzuːxn̩/|Verb|none|versucht • versuchte • h. versucht|"Зробити спробу виконати дію без гарантії успіху. Також може мати значення ""куштувати"" (рідше, частіше <i>probieren</i>) або ""спокушати"" (у контексті гріха/злочину - <i>in Versuchung führen</i>). Найчастіше вживається з інфінітивом <i>zu</i>."|1. Ich werde es <b>versuchen</b>.<br>2. Er hat <b>versucht</b>, mich anzurufen.<br>3. Hast du den Kuchen <b>versucht</b>?|1. Я спробую це.<br>2. Він намагався мені зателефонувати.<br>3. Ти куштував пиріг?|"<b>ver- (пошук/ціль) -> suchen (шукати)</b><br>Етимологічно: ""шукати досягнення чогось"". Спроба як активний пошук результату."|"Ви ""шукаєте"" (suchen) шлях, як це зробити. Спроба — це пошук рішення."|EN: to try, to attempt<br>DE: probieren<br>RU: пытаться, пробовать<br>UA: пробувати|minimalist flat vector icon of person reaching for star, Purple and Violet color palette, white background, high quality, simple shapes|Verb A1 Action Cognition
zurückfahren|Повертатися (транспортом); скорочувати (обсяги).|/t͡suˈʁʏkˌfaːʁən/|Verb|none|fährt zurück • fuhr zurück • s./h. zurückgefahren|Має два аспекти: 1. Фізичний рух назад/додому на транспорті (з sein). 2. Економічна метафора: зменшувати активність, витрати, виробництво (з haben).|1. Wir sind gestern <b>zurückgefahren</b>.<br>2. Die Firma muss die Produktion <b>zurückfahren</b>.<br>3. Er hat seine Ansprüche <b>zurückgefahren</b>.|1. Ми вчора поїхали назад.<br>2. Фірма мусить скоротити виробництво.<br>3. Він зменшив свої вимоги.|"<b>zurück (назад) -> fahren (їхати)</b><br>Пряме значення руху. Метафоричне значення ""давати задній хід"" у справах."|"Уявіть, що ви ставите важіль потужності машини ""назад"" (зменшуєте оберти)."|EN: to drive back, to scale back<br>DE: reduzieren, heimkehren<br>RU: ехать обратно, сокращать<br>UA: повертатися, згортати|minimalist flat vector icon of car u-turn arrow, Purple and Violet color palette, white background, high quality, simple shapes|Verb B1 Movement Business
